word,df,raw_tf,tfidf,tf,idf
stocks,184,800,0.016274157589242097,7.684611727667927,0.0021177592526435769
bonds,154,803,0.016201318180477816,7.688354713946762,0.0021072542544230488
she,188,638,0.015770314868368201,7.45833828334479,0.0021144542214697986
japanese,153,566,0.015452725758882371,7.338594078203183,0.0021056793159849891
court,195,532,0.015327597036895272,7.2766434893416445,0.0021064103331908651
japan,184,504,0.015295677719632058,7.222576268071369,0.0021177592526435769
8,189,505,0.015268942791731211,7.22455842927536,0.0021134776528152076
tax,186,488,0.015216349917305673,7.1903154058531475,0.0021162284348359844
computer,190,489,0.015193451452091965,7.192362489474872,0.0021124423962676645
funds,212,549,0.015172974380179227,7.3080984415095305,0.002076186370725072
index,140,545,0.015162052831934501,7.300785794663244,0.0020767699886521415
bill,171,449,0.01507655625627247,7.1070228877422545,0.0021213603071794751
banks,192,462,0.015057459345263842,7.135564891081739,0.0021101986423083538
rates,229,589,0.015002091279913176,7.3784261836515865,0.0020332372929546113
house,233,612,0.014993491615887738,7.416732282512326,0.0020215764901263065
insurance,187,430,0.014942529126647872,7.063785208687608,0.0021153713887379186
traders,142,473,0.014907255442409999,7.159095388491933,0.0020822819970206068
her,134,511,0.014890640972419111,7.236369590203704,0.0020577502001248582
bush,154,427,0.014870438134420577,7.056784013228625,0.0021072542544230488
due,179,408,0.014867269761726297,7.0112671744041615,0.0021204825592728554
treasury,155,420,0.014846076933009345,7.040254711277414,0.0021087414506790777
british,179,403,0.014841122913065061,6.998936561946683,0.0021204825592728554
congress,168,389,0.014766374665853744,6.963579343618446,0.0021205150307342913
union,167,385,0.014741461907126201,6.953243334287785,0.002120084282745177
contract,167,385,0.014741461907126201,6.953243334287785,0.002120084282745177
economic,216,460,0.014741108025641944,7.131226489483141,0.0020671209990850191
city,174,383,0.01474062262131536,6.948034989180646,0.0021215527331496157
agency,186,386,0.01472014082935621,6.955837369464831,0.0021162284348359844
him,195,396,0.014705723034871991,6.981414211254481,0.0021064103331908651
bid,221,471,0.014702207132407425,7.154858094016418,0.0020548565658769428
law,195,394,0.014695057643310656,6.976350909297934,0.0021064103331908651
dollar,170,372,0.014676026903890679,6.918893854273146,0.002121152197591048
fund,149,400,0.014671467488300378,6.991464547107982,0.0020984827126627179
san,170,369,0.014658851488611404,6.910796644040527,0.002121152197591048
points,169,368,0.014651150830397461,6.908082938168931,0.002120870719349082
economy,167,367,0.014639949120728685,6.905361848054571,0.002120084282745177
california,186,370,0.014630551644855749,6.91350300563827,0.0021162284348359844
administration,170,357,0.014588724367972466,6.877735781779639,0.002121152197591048
firms,170,346,0.014522338653386256,6.846438775057725,0.002121152197591048
offering,169,345,0.014514272970646695,6.84354441703136,0.002120870719349082
september,203,376,0.01451026135158732,6.929589143389895,0.002093956950597655
wall,205,380,0.014507300114446281,6.940171252720432,0.0020903374839287519
power,178,338,0.01447053374983699,6.823045895483019,0.0021208319526938471
case,213,391,0.014452991136046237,6.968707559985366,0.00207398445287559
monday,177,333,0.014440849451649558,6.808142489980444,0.0021211144556539737
credit,167,333,0.014433835887697153,6.808142489980444,0.002120084282745177
production,188,339,0.014433264742803891,6.82600010738045,0.0021144542214697986
issues,232,457,0.014424221862629507,7.124683390894205,0.0020245421545418527
growth,233,460,0.01441631981690507,7.131226489483141,0.0020215764901263065
oil,130,425,0.0144067934158034,7.052089168924417,0.0020429114083367044
debt,246,528,0.014394289153053781,7.269096283706261,0.0019802033968539801
stake,209,366,0.014374915837731903,6.902633333401366,0.0020825263552929399
